what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1581870647421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1581870647421
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1581870647421
java.specification.name,sysinfo,,,"Java Platform API Specification",1581870647421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581870647421
java.specification.version,sysinfo,,,"1.6",1581870647421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1581870647421
java.version,sysinfo,,,"1.6.0_20",1581870647421
java.vm.info,sysinfo,,,"mixed mode",1581870647421
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1581870647421
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1581870647421
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581870647421
java.vm.specification.version,sysinfo,,,"1.0",1581870647421
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1581870647421
java.vm.version,sysinfo,,,"16.3-b01",1581870647421
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1581870647657
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1581870647717
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1581870648189
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1581870648221
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1581870648641
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1581870648785
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1581870648805
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581870649741
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581870649877
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581870651631
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581870651631
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1581870660653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581870661177
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581870710102
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1581870712152
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1581870714216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581870717833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581870722746
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581870723767
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581870724006
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581870819242
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581870857771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581871522857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581871529666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581871589438
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581872583461
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873021273
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581873330551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581873333169
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581873338250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581873341291
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581873357108
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581873386731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873388966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873392244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581873415827
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1581873420840
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1581873421976
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1581873422008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873422077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873422509
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873422733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873425204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873431743
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873431881
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1581873431981
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1581873432028
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1581873432112
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1581873433524
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1581873433524
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1581873433540
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581873527295
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581873547465
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581873551840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1581873672676
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1581873673479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1581873673924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1581873674565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873680889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873687930
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.rename.element",1581873687968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873694753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873697510
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.rename.element",1581873697542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873714773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581873733821
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.rename.element",1581873733861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874053412
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1581874064748
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874094209
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1581874118565
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874190656
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874204324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874216521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874233011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874259367
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1581874261956
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874265139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874268811
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581874269769
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581874270089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581874468729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581874471769
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581874481711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874606525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581874629536
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874633814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874633963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581874648913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875174578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875181268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875252615
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1581875255721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875260912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875265048
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581875266011
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581875266299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875304114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875337752
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581875359600
