what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581968847681
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581968854389
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581968866000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581968868939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581968870011
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581968876619
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581969066230
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581969261442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581969285822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969400230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969400596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581969404345
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969484078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969579084
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969604329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969624215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969691942
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969700186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969711906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969812652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581969833106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970211972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970231775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970279819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970339758
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970344447
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1581970367920
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581970428305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581970626797
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970630154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970652597
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1581970654511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970657965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581970661644
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581970662530
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1581970662815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581970997361
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581970998795
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581971015312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581971020629
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1581971073334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581971080256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1581971080398
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1581971330833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1581971332641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1581971345954
