what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1580930511733
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1580930511733
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1580930511736
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1580930511739
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1580930511741
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1580930511744
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1580930511746
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1580930511753
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1580930511757
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1580930511760
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1580930511765
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1580930511767
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1580930511767
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1580930511770
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1580930511775
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1580930511778
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1580930511779
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1580930511781
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1580930511783
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1580930511786
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1580930511789
os,sysinfo,,,"win32",1580930511799
arch,sysinfo,,,"x86",1580930511799
ws,sysinfo,,,"win32",1580930511799
locale,sysinfo,,,"de_DE",1580930511799
processors,sysinfo,,,"4",1580930511799
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1580930511799
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1580930511799
java.specification.name,sysinfo,,,"Java Platform API Specification",1580930511799
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1580930511799
java.specification.version,sysinfo,,,"1.6",1580930511799
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1580930511799
java.version,sysinfo,,,"1.6.0_20",1580930511799
java.vm.info,sysinfo,,,"mixed mode",1580930511799
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1580930511799
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1580930511799
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1580930511799
java.vm.specification.version,sysinfo,,,"1.0",1580930511799
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1580930511799
java.vm.version,sysinfo,,,"16.3-b01",1580930511799
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1580930511917
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1580930511930
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1580930511942
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1580930512068
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1580930512074
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1580930519019
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1580930519230
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1580930519243
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1580930519288
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1580930520624
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1580930520650
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1580930520654
