what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1580317883296
java.vm.version,sysinfo,,,"16.3-b01",1580317883296
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1580317883434
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1580317883464
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1580317883519
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1580317883555
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1580317883592
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1580317883628
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1580317883929
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1580317884692
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1580317884736
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1580317885718
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1580317885863
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1580317885937
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1580317886621
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1580317886650
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1580317887225
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1580317887266
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1580317887755
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1580317887977
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1580317888012
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1580317889578
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580317895497
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580317895745
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580317903293
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580317903539
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580317905805
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1580317916208
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1580317916993
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1580317917013
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1580317917913
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1580317919016
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1580317919136
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1580317919138
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1580317919140
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1580317919198
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580317921213
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580317938410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580317950628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580317961834
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580317969071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318007157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318019822
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318027487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318029555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318043230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318048611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318150758
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580318159398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318168663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318173950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318175794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318181797
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318183989
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318288026
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580318297543
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580318337338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321257290
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1580321266179
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321267051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321321346
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1580321322495
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1580321323527
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321326571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321330979
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580321331785
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1580321332129
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1580321650913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580321946004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321951104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321951292
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321951396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1580321953013
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1580322008456
